time,region,size,api_price,cli_price,pay_as_you_go_price,1_year_reserved_price,3_year_reserved_price,%_saving_pay_as_you_go,%_saving_1y_reserved,%_saving_3y_reserved
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_E8s_v3,0.133318,0.133318,0.933,0.3928082191780822,0.2637366818873668,85.71082529474812,66.06028247602441,49.45033847929592
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_D8s_v3,0.11088,0.11088,0.528,0.30445205479452053,0.19798325722983257,79.0,63.58047244094488,43.995264270613106
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_E4s_v3,0.066659,0.066659,0.467,0.1963470319634703,0.13184931506849315,85.72612419700215,66.05041627906976,49.443044155844156
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_E2_v4,0.022581,0.022581,0.195,0.11518264840182649,0.07420091324200913,88.42000000000002,80.3954846382557,69.56775999999999
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_E16_v4,0.18088,0.18088,1.562,0.9218036529680366,0.5937214611872146,88.41997439180538,80.37759999999999,69.53453566621802
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_E4_v4,0.045278,0.045278,0.391,0.23047945205479453,0.14843987823439878,88.41994884910487,80.3548647845468,69.4974150217893
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_E8_v4,0.09044,0.09044,0.781,0.46095890410958906,0.29684170471841703,88.41997439180538,80.38002971768202,69.53258300217921
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_D2s_v3,0.0125,0.0125,0.125,0.07842465753424657,0.05262557077625571,90.0,84.06113537117903,76.24728850325381
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_E2s_v4,0.022581,0.022581,0.195,0.11518264840182649,0.07420091324200913,88.42000000000002,80.3954846382557,69.56775999999999
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_E4s_v4,0.045278,0.045278,0.391,0.23047945205479453,0.14843987823439878,88.41994884910487,80.3548647845468,69.4974150217893
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_E4s_v3,0.0319,0.0319,0.378,0.18767123287671234,0.1200152207001522,91.56084656084657,83.00218978102191,73.42003804692455
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_E8s_v3,0.0638,0.0638,0.756,0.37534246575342467,0.2400304414003044,91.56084656084657,83.00218978102191,73.42003804692455
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_D4s_v3,0.025,0.025,0.25,0.15684931506849314,0.10528919330289194,90.0,84.06113537117903,76.25587278641129
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_D8s_v3,0.05,0.05,0.5,0.31358447488584473,0.21057838660578387,90.0,84.05533309064435,76.25587278641129
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_E2_v4,0.0183,0.0183,0.183,0.10776255707762557,0.06944444444444445,89.99999999999999,83.01822033898306,73.648
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_E8_v4,0.0731,0.0731,0.731,0.4311643835616438,0.27770167427701675,89.99999999999999,83.04590945194599,73.67678816114004
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_E4_v4,0.0365,0.0365,0.365,0.2156392694063927,0.13885083713850838,90.0,83.073583906829,73.71279802685667
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_E16_v4,0.1462,0.1462,1.462,0.8623287671232877,0.5554033485540335,89.99999999999999,83.04590945194599,73.67678816114004
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_E4s_v4,0.0365,0.0365,0.365,0.2156392694063927,0.13885083713850838,90.0,83.073583906829,73.71279802685667
2021-06-30 02:57:24.994786-04:00,australiacentral,Standard_E2s_v4,0.0183,0.0183,0.183,0.10776255707762557,0.06944444444444445,89.99999999999999,83.01822033898306,73.648
